workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,Condition2
163,37Q970SNZE9UZRQTTGHTGZF8M20S1O,21,23,"english","Yes",Trial11,22 56-mean-CnC CnC Jack_saw_a_hungry_dog. He_pretended_to_have_food_for_him. 7 mean,11,22,56-mean-CnC,CnC,Jack_saw_a_hungry_dog.,He_pretended_to_have_food_for_him.,7,mean,Cn
20,3HYA4D452RKSK73360H8EJ6YPIL2FX,12,30,"English","Yes",Trial11,13 59-mean-CxC CxC Jack's_daughter_is_lactose_intolerant. He_gave_her_a_milk_shake. 6 mean,11,13,59-mean-CxC,CxC,Jack's_daughter_is_lactose_intolerant.,He_gave_her_a_milk_shake.,6,mean,Cx
153,31T4R4OBOSHS3WGZLA8224233LEC7B,5,26,"English","Yes",Trial11,6 49-rude-CxD CxD Ann's_neighbor_made_an_inappropriate_comment. She_ignored_him. 1 rude,11,6,49-rude-CxD,CxD,Ann's_neighbor_made_an_inappropriate_comment.,She_ignored_him.,1,rude,Cx
41,3RKNTXVS3MZ7RU1IZYE4TXS5CG4A4O,0,33,"English","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,1,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
47,3R2PKQ87NW92129MHQ6DWPXOBFTMIY,8,19,"English","Yes",Trial11,9 28-lucky-CnC CnC Eve_bought_a_raffle_ticket._ She_won_the_first_prize. 7 lucky,11,9,28-lucky-CnC,CnC,Eve_bought_a_raffle_ticket._,She_won_the_first_prize.,7,lucky,Cn
80,3Z2R0DQ0JHF0ET37BPX2W1LYDH62EF,15,38,"english","Yes",Trial11,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,11,16,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
204,3R8YZBNQ9HJWXXQIQS9XM9RK70G7QC,21,42,"English","Yes",Trial11,22 48-polite-CxC CxC Chad_was_introduced_to_Susan. He_smiled. 7 polite,11,22,48-polite-CxC,CxC,Chad_was_introduced_to_Susan.,He_smiled.,7,polite,Cx
127,3L4D84MILZTC4ZSH8BB0GL4S78JHJW,3,26,"English","Yes",Trial11,4 34-wise-CnD CnD Paul's_parents_were_fighting. He_got_involved. 3 wise,11,4,34-wise-CnD,CnD,Paul's_parents_were_fighting.,He_got_involved.,3,wise,Cn
265,3WETL7AQWT9P3S6X4OI4BHKD62753S,4,37,"english","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,5,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
185,3TDXMTX3CBV0CZOUUAZW7T02LFE6I8,19,34,"English","Yes",Trial11,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 6 true,11,20,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,6,true,na
240,3DY46V3X3PJSH7T1I76XQEIXKYY55I,4,22,"English","Yes",Trial11,5 21-brave-CxC CxC Greg_was_offered_a_job_as_a_lion_tamer. He_took_the_job. 7 brave,11,5,21-brave-CxC,CxC,Greg_was_offered_a_job_as_a_lion_tamer.,He_took_the_job.,7,brave,Cx
150,3V26SBZTBDFOVZXFWJKT4MWNMWDZZP,8,21,"English","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,9,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
71,3KKG4CDWKIZTMBRD7S04X2HL6YL492,4,20,"English","Yes",Trial11,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,11,5,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
218,3ZPPDN2SLVXBEDO6WYCH6OTCJNF9ED,6,26,"English","Yes",Trial11,7 17-fortunate-CxD CxD Sue_is_allergic_to_pollen. She_had_a_flower_bouquet. 2 fortunate,11,7,17-fortunate-CxD,CxD,Sue_is_allergic_to_pollen.,She_had_a_flower_bouquet.,2,fortunate,Cx
43,3IQ1VMJRYTL8O07UGTAVA53LY8H9AI,22,20,"English","Yes",Trial11,23 39-foolish-CnC CnC Kate_went_on_a_beach_vacation. She_worked_insane_hours_every_day. 1 foolish,11,23,39-foolish-CnC,CnC,Kate_went_on_a_beach_vacation.,She_worked_insane_hours_every_day.,1,foolish,Cn
192,3BEFOD78W6U8TVA7W1492ON56XT4M2,19,23,"English","Yes",Trial11,20 48-polite-CnC CnC Chad_was_chatting_with_his_friend_Betty. He_asked_about_her_children. 4 polite,11,20,48-polite-CnC,CnC,Chad_was_chatting_with_his_friend_Betty.,He_asked_about_her_children.,4,polite,Cn
186,3RKNTXVS3MZ7RU1IZYE4TXS5CG34AH,11,23,"English","Yes",Trial11,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 7 true,11,12,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,7,true,na
237,3HPZF4IVNMUBIGC08JY2FHM07KOCYD,2,25,"english","Yes",Trial11,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,11,3,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
182,3L4PIM1GQTHFOI1JQGOX4CLM7LQRYX,19,27,"English","Yes",Trial11,20 24-brave-CnC CnC Greg_was_attacked_last_year. He_faced_his_attacker_in_court. 7 brave,11,20,24-brave-CnC,CnC,Greg_was_attacked_last_year.,He_faced_his_attacker_in_court.,7,brave,Cn
99,3CN4LGXD5XP8NCZLF4SKWJACF774YS,10,22,"English","Yes",Trial11,11 27-lucky-CnD CnD Eve_was_attacked_last_night. She_was_stabbed_in_the_leg. 5 lucky,11,11,27-lucky-CnD,CnD,Eve_was_attacked_last_night.,She_was_stabbed_in_the_leg.,5,lucky,Cn
118,38F71OA9GTXIRB7WGI0STSKWVN1MF7,4,29,"English","Yes",Trial11,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,11,5,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
131,3TR2532VIPVW7A80CSKWJUF2YU36JK,6,37,"english","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,7,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
17,3U5JL4WY5KAJN79BA86ID533D1D4XM,5,55,"English","Yes",Trial11,6 21-brave-CnD CnD Greg_had_a_traumatic_experience_in_the_war. He_refused_to_talk_about_what_he_went_through. 3 brave,11,6,21-brave-CnD,CnD,Greg_had_a_traumatic_experience_in_the_war.,He_refused_to_talk_about_what_he_went_through.,3,brave,Cn
78,351SEKWQS0ILTRT0PC525SHBJALMDW,18,29,"English","Yes",Trial11,19 60-mean-CxD CxD Jack_had_to_go_to_the_bathroom. He_cut_the_line. 6 mean,11,19,60-mean-CxD,CxD,Jack_had_to_go_to_the_bathroom.,He_cut_the_line.,6,mean,Cx
209,3XIQGXAUMC9G6URUC64PGHND4337X9,22,23,"English","Yes",Trial11,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,11,23,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
143,3YZ8UPK3VTNU17SVYI1DCWGNBWDCUF,22,21,"english","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,23,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
74,3WJ1OXY92AH8AVOKB14HA98AE2Z8AS,10,31,"English","Yes",Trial11,11 23-brave-CnD CnD Greg_wrote_a_controversial_article. He_used_a_fake_name. 3 brave,11,11,23-brave-CnD,CnD,Greg_wrote_a_controversial_article.,He_used_a_fake_name.,3,brave,Cn
14,3LOZAJ85YDE9KTUO6UNUKQ65TNGX2I,2,29,"english","Yes",Trial11,3 47-polite-CnC CnC Chad_had_insulted_his_wife. He_apologized. 7 polite,11,3,47-polite-CnC,CnC,Chad_had_insulted_his_wife.,He_apologized.,7,polite,Cn
213,36PW28KO4ZXPJWYBO4QH2J4WP5XEAX,19,21,"English","Yes",Trial11,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,11,20,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
167,3KIBXJ1WD5VH70KMU9621916YJXOKQ,17,24,"English","Yes",Trial11,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,11,18,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
25,3IOEN3P9S7KPCTSWM3EQFUJG4D316B,13,28,"English","Yes",Trial11,14 41-foolish-CnD CnD Kate's_doctor_told_her_to_lose_weight. She_started_exercising. 1 foolish,11,14,41-foolish-CnD,CnD,Kate's_doctor_told_her_to_lose_weight.,She_started_exercising.,1,foolish,Cn
258,31UV0MXWNQD4TVOGPRPRFNM2PK65IU,11,24,"English","Yes",Trial11,12 1-smart-CnD CnD Jane_wanted_to_get_a_good_job. She_dropped_out_of_high_school. 2 smart,11,12,1-smart-CnD,CnD,Jane_wanted_to_get_a_good_job.,She_dropped_out_of_high_school.,2,smart,Cn
51,3JV9LGBJWTFC5EO34ILN3H9DR2JOGQ,10,25,"English","Yes",Trial11,11 43-polite-CxD CxD Chad_was_in_a_meeting_with_his_boss. He_closed_his_eyes. 1 polite,11,11,43-polite-CxD,CxD,Chad_was_in_a_meeting_with_his_boss.,He_closed_his_eyes.,1,polite,Cx
164,3ND9UOO81K30WFB66V9DX3R7QL4LW5,8,24,"English","Yes",Trial11,9 40-foolish-CxC CxC Kate_was_watching_a_movie. She_wore_sun_glasses. 1 foolish,11,9,40-foolish-CxC,CxC,Kate_was_watching_a_movie.,She_wore_sun_glasses.,1,foolish,Cx
48,3ATTHHXXWAPDVE8QVX8M76DMIJGIXH,2,27,"English","Yes",Trial11,3 57-mean-CnD CnD Jack's_daughter_made_a_mistake_in_her_homework. He_helped_her_fix_it. 1 mean,11,3,57-mean-CnD,CnD,Jack's_daughter_made_a_mistake_in_her_homework.,He_helped_her_fix_it.,1,mean,Cn
254,3R3YRB5GRF468SVXE45M61QZBTUAUD,11,19,"english","Yes",Trial11,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,11,12,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
205,3NVC2EB65Q0N5GGHFQN1MEI617CY32,16,35,"English","Yes",Trial11,17 51-rude-CxC CxC Ann_was_eating_pasta_with_her_friends. She_used_her_fingers. 5 rude,11,17,51-rude-CxC,CxC,Ann_was_eating_pasta_with_her_friends.,She_used_her_fingers.,5,rude,Cx
232,384PI804XS2US25BXXDT2UWYHAX0SW,10,39,"English","Yes",Trial11,11 43-polite-CxD CxD Chad_was_in_a_meeting_with_his_boss. He_closed_his_eyes. 2 polite,11,11,43-polite-CxD,CxD,Chad_was_in_a_meeting_with_his_boss.,He_closed_his_eyes.,2,polite,Cx
238,3MMN5BL1WZ5NBZR3WNZQSJVZSXZM31,3,33,"English+and+Lao","Yes",Trial11,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,11,4,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
77,3UN61F00HWQHMURZFEJ0TFNTCGPR5K,16,23,"English","Yes",Trial11,17 46-polite-CxC CxC Chad_was_hanging_out_with_an_unhappy_friend. He_listened_for_a_long_time. 5 polite,11,17,46-polite-CxC,CxC,Chad_was_hanging_out_with_an_unhappy_friend.,He_listened_for_a_long_time.,5,polite,Cx
86,3LPW2N6LKT392MJGJ8E5YQADJFT5U2,10,46,"English","Yes",Trial11,11 40-foolish-CxD CxD Kate_went_to_the_beach. She_wore_sun_glasses. 1 foolish,11,11,40-foolish-CxD,CxD,Kate_went_to_the_beach.,She_wore_sun_glasses.,1,foolish,Cx
114,388U7OUMF72IRN5YI8DOCKR2V8E0R8,11,32,"English","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,12,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
141,3ATPCQ38J8BNP1F2O52B9MWC7H5AYB,11,55,"English","Yes",Trial11,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 7 true,11,12,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,7,true,na
67,3K5TEWLKGVCLRP3VVI74JLG1287VIQ,8,30,"English","Yes",Trial11,9 1-smart-CxD CxD Jane's_neighbor_complained_about_the_loud_music. She_turned_up_the_volume. 3 smart,11,9,1-smart-CxD,CxD,Jane's_neighbor_complained_about_the_loud_music.,She_turned_up_the_volume.,3,smart,Cx
234,3QRYMNZ7FYIYSYAXN3KHNBOXRMLNTI,11,24,"English","Yes",Trial11,12 35-wise-CxD CxD Paul_was_offered_a_great_promotion. He_refused. 1 wise,11,12,35-wise-CxD,CxD,Paul_was_offered_a_great_promotion.,He_refused.,1,wise,Cx
229,3018Q3ZVOIRES03GAAAH1Q3F4UQRAQ,16,22,"English","Yes",Trial11,17 56-mean-CxC CxC Jack_didn't_like_the_movie_his_wife_was_watching. He_turned_off_the_movie. 2 mean,11,17,56-mean-CxC,CxC,Jack_didn't_like_the_movie_his_wife_was_watching.,He_turned_off_the_movie.,2,mean,Cx
159,3B1NLC6UGZXUQE04JIY2SHE317FGPZ,16,44,"English","Yes",Trial11,17 26-lucky-CxC CxC Eve_sold_her_house_in_a_recession. She_broke_even. 4 lucky,11,17,26-lucky-CxC,CxC,Eve_sold_her_house_in_a_recession.,She_broke_even.,4,lucky,Cx
191,3XUHV3NRVKZ4X0DWJ976FBLNP7RH5D,6,23,"English","Yes",Trial11,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 7 true,11,7,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,7,true,na
166,3O6CYIULED23F5Y0F91EOQNQ3CXWUA,16,23,"English","Yes",Trial11,17 46-polite-CxC CxC Chad_was_hanging_out_with_an_unhappy_friend. He_listened_for_a_long_time. 7 polite,11,17,46-polite-CxC,CxC,Chad_was_hanging_out_with_an_unhappy_friend.,He_listened_for_a_long_time.,7,polite,Cx
201,33TIN5LC04B9KI5XWZOBDRLS1ZMY9J,8,28,"English","Yes",Trial11,9 44-polite-CxC CxC Chad_was_watching_a_theater_play. He_applauded. 5 polite,11,9,44-polite-CxC,CxC,Chad_was_watching_a_theater_play.,He_applauded.,5,polite,Cx
5,3ZOTGHDK5ICFVJXUZIF4SVSGFDDOSA,2,31,"English","Yes",Trial11,3 25-lucky-CxD CxD Eve_thought_she_found_water_in_the_desert. She_was_just_hallucinating. 1 lucky,11,3,25-lucky-CxD,CxD,Eve_thought_she_found_water_in_the_desert.,She_was_just_hallucinating.,1,lucky,Cx
246,36H9ULYP62VSQ31BDLN0D0SFRT9JF3,16,31,"English","Yes",Trial11,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 7 true,11,17,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,7,true,na
13,3KOPY89HM83XARLITQMYCR3IO34J3U,8,24,"english%2Fspanish","Yes",Trial11,9 54-rude-CxD CxD Ann_was_talking_to_a_person_hard_of_hearing. She_spoke_very_loudly. 3 rude,11,9,54-rude-CxD,CxD,Ann_was_talking_to_a_person_hard_of_hearing.,She_spoke_very_loudly.,3,rude,Cx
57,3TVSS0C0E11OFSJBF4B4JU1OKYQWTJ,10,22,"English","Yes",Trial11,11 34-wise-CxD CxD Paul_was_in_danger_of_being_laid_off. He_took_a_vacation. 1 wise,11,11,34-wise-CxD,CxD,Paul_was_in_danger_of_being_laid_off.,He_took_a_vacation.,1,wise,Cx
7,34S9DKFK73QU9K9RX97GVSGC6O3NY7,8,25,"English","Yes",Trial11,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,11,9,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
230,3QJOXOW4XJSQLX70L7GMBAZWJMPMES,10,45,"English","Yes",Trial11,11 50-rude-CxD CxD Ann's_boyfriend_made_fun_of_her_haircut. She_ignored_him. 1 rude,11,11,50-rude-CxD,CxD,Ann's_boyfriend_made_fun_of_her_haircut.,She_ignored_him.,1,rude,Cx
126,31Z0PCVWUKG9PDIA7W3SRE27R7GT7D,10,20,"english","Yes",Trial11,11 50-rude-CxD CxD Ann's_boyfriend_made_fun_of_her_haircut. She_ignored_him. 3 rude,11,11,50-rude-CxD,CxD,Ann's_boyfriend_made_fun_of_her_haircut.,She_ignored_him.,3,rude,Cx
195,3ZQIG0FLQEH3SKN0KZBJKCP9HJ6WVZ,6,42,"english","Yes",Trial11,7 28-lucky-CxC CxC Eve_has_a_5th_grade_education. She_got_a_minimum_wage_job. 7 lucky,11,7,28-lucky-CxC,CxC,Eve_has_a_5th_grade_education.,She_got_a_minimum_wage_job.,7,lucky,Cx
189,3KV0LJBBH2MFU1C57D0MAHYFYBFMR5,11,26,"english","Yes",Trial11,12 10-stupid-CxC CxC Zack_saw_two_wasps_in_his_drink. He_took_a_sip. 5 stupid,11,12,10-stupid-CxC,CxC,Zack_saw_two_wasps_in_his_drink.,He_took_a_sip.,5,stupid,Cx
148,37W3JXSD669KWEI5PAY3RBT3Z08WY8,8,45,"English","Yes",Trial11,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,11,9,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
147,3LYA37P8IQOXO6VDQ41GVP17RKHBKC,11,23,"English","Yes",Trial11,12 40-foolish-CnC CnC Kate's_favorite_shampoo_was_on_sale. She_bought_fifty_bottles. 5 foolish,11,12,40-foolish-CnC,CnC,Kate's_favorite_shampoo_was_on_sale.,She_bought_fifty_bottles.,5,foolish,Cn
188,3P59JYT76LL23CL41KMXVNLZGRUT2X,16,31,"English","Yes",Trial11,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,11,17,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
30,3MX2NQ3YC9V1JQDBODPSIX9HDXAX5M,8,38,"English","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,9,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
82,3WQQ9FUS6AVDT5TCHF4D5KSGWKP8BS,5,29,"English","Yes",Trial11,6 21-brave-CnD CnD Greg_had_a_traumatic_experience_in_the_war. He_refused_to_talk_about_what_he_went_through. 4 brave,11,6,21-brave-CnD,CnD,Greg_had_a_traumatic_experience_in_the_war.,He_refused_to_talk_about_what_he_went_through.,4,brave,Cn
4,3KIBXJ1WD5VH70KMU9621916YJ1KOQ,6,49,"English","Yes",Trial11,7 8-stupid-CxC CxC Zack_loves_his_girlfriend. He_broke_up_with_her. 5 stupid,11,7,8-stupid-CxC,CxC,Zack_loves_his_girlfriend.,He_broke_up_with_her.,5,stupid,Cx
249,3IUZPWIU1O8PC9TOLVXCI3ES1L0KW2,3,31,"English","Yes",Trial11,4 21-brave-CnC CnC Greg_had_a_traumatic_experience_in_the_war. He_talked_about_what_he_went_through. 6 brave,11,4,21-brave-CnC,CnC,Greg_had_a_traumatic_experience_in_the_war.,He_talked_about_what_he_went_through.,6,brave,Cn
235,3DBQWDE4Y6ZW7WZ7M72JKVIJBJ1N5T,1,25,"English","Yes",Trial11,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,11,2,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
181,386CSBG1OZNDTXCD7I45GVROCPZQ6Z,12,28,"English","Yes",Trial11,13 5-smart-CnC CnC Jane's_computer_was_hacked. She_changed_her_passwords_immediately. 7 smart,11,13,5-smart-CnC,CnC,Jane's_computer_was_hacked.,She_changed_her_passwords_immediately.,7,smart,Cn
10,3IXEICO792KQLD45OMY0L02BWWYT6G,19,27,"English","Yes",Trial11,20 2-smart-CnC CnC Jane_was_arrested_for_fraud. She_told_her_attorney_the_truth. 5 smart,11,20,2-smart-CnC,CnC,Jane_was_arrested_for_fraud.,She_told_her_attorney_the_truth.,5,smart,Cn
239,3Z4XG4ZF48SK68WDMBWVUHJ8FND8X1,4,40,"english","Yes",Trial11,5 36-wise-CnC CnC Paul_had_the_flu. He_stayed_in_bed. 5 wise,11,5,36-wise-CnC,CnC,Paul_had_the_flu.,He_stayed_in_bed.,5,wise,Cn
73,3X66WABAJWJNJPVHLK1VFEB2WBPG3P,5,60,"English","Yes",Trial11,6 16-fortunate-CnD CnD Sue_was_training_to_become_a_dancer. She_developed_back_problems. 1 fortunate,11,6,16-fortunate-CnD,CnD,Sue_was_training_to_become_a_dancer.,She_developed_back_problems.,1,fortunate,Cn
146,37M28K1J0QEXUCK32518ZZHOUDYJAS,14,31,"English","Yes",Trial11,15 2-smart-CnD CnD Jane_was_arrested_for_fraud. She_had_incriminating_documents_in_her_briefcase. 1 smart,11,15,2-smart-CnD,CnD,Jane_was_arrested_for_fraud.,She_had_incriminating_documents_in_her_briefcase.,1,smart,Cn
52,3VSOLARPKBA84F897EVLNXPFSYU93R,1,29,"English","Yes",Trial11,2 45-polite-CxC CxC Chad_watched_a_street_comedian. He_laughed. 6 polite,11,2,45-polite-CxC,CxC,Chad_watched_a_street_comedian.,He_laughed.,6,polite,Cx
133,32SCWG5HIH5STLBY75PGGQ1E7TE6PP,12,29,"english","Yes",Trial11,13 59-mean-CxC CxC Jack's_daughter_is_lactose_intolerant. He_gave_her_a_milk_shake. 7 mean,11,13,59-mean-CxC,CxC,Jack's_daughter_is_lactose_intolerant.,He_gave_her_a_milk_shake.,7,mean,Cx
59,3K9FOBBF2HKA9L2SEUIQ1KEGX92LNG,3,43,"english","Yes",Trial11,4 5-smart-CnD CnD Jane's_computer_was_hacked. She_kept_using_the_same_passwords. 1 smart,11,4,5-smart-CnD,CnD,Jane's_computer_was_hacked.,She_kept_using_the_same_passwords.,1,smart,Cn
157,374TNBHA8BWFCHMJD1ZXZMBHBZSYQ7,0,24,"English","Yes",Trial11,1 33-wise-CnD CnD Paul_ran_a_marathon_on_Sunday. He_got_very_drunk_the_night_before. 1 wise,11,1,33-wise-CnD,CnD,Paul_ran_a_marathon_on_Sunday.,He_got_very_drunk_the_night_before.,1,wise,Cn
105,3EKVH9QMEY5VMNP7FUMIQJ3DD58D20,19,56,"English","Yes",Trial11,20 56-mean-CxD CxD Jack's_young_daughter_was_watching_an_R-rated_movie. He_turned_off_the_movie. 1 mean,11,20,56-mean-CxD,CxD,Jack's_young_daughter_was_watching_an_R-rated_movie.,He_turned_off_the_movie.,1,mean,Cx
200,3QAPZX2QN4E1N3OD3IYNBCJUJG020X,0,29,"eNGLISH","Yes",Trial11,1 2-smart-CxD CxD Jane_was_prank-calling_people. She_called_the_police. 1 smart,11,1,2-smart-CxD,CxD,Jane_was_prank-calling_people.,She_called_the_police.,1,smart,Cx
109,3WT783CTPBIF58JPYRKI76OZMBABC1,14,27,"English","Yes",Trial11,15 39-foolish-CxC CxC Kate_was_drunk_at_a_bar. She_took_her_top_off. 7 foolish,11,15,39-foolish-CxC,CxC,Kate_was_drunk_at_a_bar.,She_took_her_top_off.,7,foolish,Cx
84,35USIKEBNRHSQ0ZLRQCOC1WJ7ECN69,12,27,"English","Yes",Trial11,13 59-mean-CxC CxC Jack's_daughter_is_lactose_intolerant. He_gave_her_a_milk_shake. 7 mean,11,13,59-mean-CxC,CxC,Jack's_daughter_is_lactose_intolerant.,He_gave_her_a_milk_shake.,7,mean,Cx
256,32KTQ2V7RDG9Q1GJDW00JWYLSPBM9K,12,29,"English","Yes",Trial11,13 14-fortunate-CxC CxC Sue_needed_to_cut_some_bread. She_had_a_sharp_knife_in_her_purse. 4 fortunate,11,13,14-fortunate-CxC,CxC,Sue_needed_to_cut_some_bread.,She_had_a_sharp_knife_in_her_purse.,4,fortunate,Cx
92,3WMINLGALB4AMYEXSDKMCV4T4TPCA7,12,38,"English","Yes",Trial11,13 26-lucky-CnD CnD Eve_was_going_to_Hawaii_on_vacation. She_missed_her_flight. 1 lucky,11,13,26-lucky-CnD,CnD,Eve_was_going_to_Hawaii_on_vacation.,She_missed_her_flight.,1,lucky,Cn
1,3EJPLAJKEMHM7PD4UENI7O3SHSL6ZA,7,27,"English","Yes",Trial11,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,11,8,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
162,3PH3VY7DJLYK14SALW0M5I255UEZW4,6,25,"English+","Yes",Trial11,7 31-wise-CnC CnC Paul_lost_his_wallet_with_his_credit_cards. He_canceled_the_credit_cards_immediately. 7 wise,11,7,31-wise-CnC,CnC,Paul_lost_his_wallet_with_his_credit_cards.,He_canceled_the_credit_cards_immediately.,7,wise,Cn
107,3BDCF01OGXV4LK66LWR1I0CN1T5YLI,19,30,"english","Yes",Trial11,20 28-lucky-CxD CxD Eve_has_a_first_rate_college_education. She_got_a_minimum_wage_job. 1 lucky,11,20,28-lucky-CxD,CxD,Eve_has_a_first_rate_college_education.,She_got_a_minimum_wage_job.,1,lucky,Cx
72,3Z7ISHFUH0W9B3WSNTKGR2ZJNNBZ8P,3,29,"english","Yes",Trial11,4 21-brave-CnC CnC Greg_had_a_traumatic_experience_in_the_war. He_talked_about_what_he_went_through. 7 brave,11,4,21-brave-CnC,CnC,Greg_had_a_traumatic_experience_in_the_war.,He_talked_about_what_he_went_through.,7,brave,Cn
61,3S96KQ6I9M5P6MJKY96ER6C3DIMTD9,14,55,"English","Yes",Trial11,15 31-wise-CxC CxC Paul_bought_an_expensive_TV. He_asked_about_the_return_policy. 7 wise,11,15,31-wise-CxC,CxC,Paul_bought_an_expensive_TV.,He_asked_about_the_return_policy.,7,wise,Cx
203,33UKMF9319LWNBFHKZ6TWAUPG4ATTS,7,27,"english","Yes",Trial11,8 53-rude-CxC CxC Ann_was_introduced_to_Samuel. She_frowned. 6 rude,11,8,53-rude-CxC,CxC,Ann_was_introduced_to_Samuel.,She_frowned.,6,rude,Cx
236,3GGAI1SQEVZBOZNMPGARLMZTY9YCM9,13,57,"English","Yes",Trial12,14 52-rude-CxC CxC Ann_was_watching_a_play._ She_made_a_call_on_her_cell_phone. 7 rude,12,14,52-rude-CxC,CxC,Ann_was_watching_a_play._,She_made_a_call_on_her_cell_phone.,7,rude,Cx
27,3TXWC2NHNZRCOWTOXTWMV5XRKDDS9K,16,30,"English","Yes",Trial12,17 13-fortunate-CnD CnD Sue_was_bitten_by_a_shark. She_lost_a_leg. 2 fortunate,12,17,13-fortunate-CnD,CnD,Sue_was_bitten_by_a_shark.,She_lost_a_leg.,2,fortunate,Cn
245,3ZGVPD4G6TIS9NOGQRVBIYV61ZFTZP,6,51,"English","Yes",Trial12,7 28-lucky-CxC CxC Eve_has_a_5th_grade_education. She_got_a_minimum_wage_job. 6 lucky,12,7,28-lucky-CxC,CxC,Eve_has_a_5th_grade_education.,She_got_a_minimum_wage_job.,6,lucky,Cx
