workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,AIness,Target,Responseutt,Response,Adj
64,3R6BYFZZP7DTLN60UP21490UHNBFXH,1,"""36""","""English""","""Yes""",Trial12,2 brave_2_SAI SAI Greg_was_brave_to_watch_them. Yes__I_am_sure_that_he_watched_them. 2 brave,12,2,brave_2_SAI,SAI,Greg_was_brave_to_watch_them.,Yes__I_am_sure_that_he_watched_them.,2,brave
72,3YT88D1N08ZSLBR0BBMAD63VIOQK3N,0,"""66""","""English""","""Yes""",Trial12,1 brave_1_SAI SAI Greg_was_brave_to_take_the_job. Yes__I_am_sure_that_he_took_the_job. 1 brave,12,1,brave_1_SAI,SAI,Greg_was_brave_to_take_the_job.,Yes__I_am_sure_that_he_took_the_job.,1,brave
47,3X87C8JFV6CIGVAAEV78H0NG9AIQSE,5,"""30""","""English""","""Yes""",Trial12,6 mean_3_VPAI VPAI Jack_was_mean_to_give_a_milkshake_to_his_lactose_intolerant_daughter. Yes__I_am_sure_that_he_gave_her_a_milkshake. 1 mean,12,6,mean_3_VPAI,VPAI,Jack_was_mean_to_give_a_milkshake_to_his_lactose_intolerant_daughter.,Yes__I_am_sure_that_he_gave_her_a_milkshake.,1,mean
22,31QNSG6A5RUQRTQM4YSX0I6KSQH87W,4,"""29""","""english""","""Yes""",Trial12,5 foolish_2_SAI SAI Kate_was_foolish_to_bring_a_snack. Yes__I_am_sure_that_she_brought_a_snack. 2 foolish,12,5,foolish_2_SAI,SAI,Kate_was_foolish_to_bring_a_snack.,Yes__I_am_sure_that_she_brought_a_snack.,2,foolish
28,3V5Q80FXIXSX4VNAM5G6DAH11O632M,2,"""25""","""English""","""Yes""",Trial12,3 brave_3_SAI SAI Greg_was_brave_to_agree_to_do_it. Yes__I_am_sure_that_he_agreed_to_do_it. 2 brave,12,3,brave_3_SAI,SAI,Greg_was_brave_to_agree_to_do_it.,Yes__I_am_sure_that_he_agreed_to_do_it.,2,brave
29,3V26SBZTBDFOVZXFWJKT4MWN1S3ZZM,0,"""54""","""english""","""Yes""",Trial12,1 wise_1_VPAI VPAI Paul_was_wise_to_promote_his_excellent_employee. Yes__I_am_sure_that_he_promoted_his_excellent_employee. 2 wise,12,1,wise_1_VPAI,VPAI,Paul_was_wise_to_promote_his_excellent_employee.,Yes__I_am_sure_that_he_promoted_his_excellent_employee.,2,wise
54,34S6N1K2ZVKIZPGHBWNDW0HKQTELHZ,5,"""26""","""Vietnamese""","""Yes""",Trial12,filler compAnnoyed FAI Tamara_is_annoyed_that_the_pizza_is_gone Yes__I_am_sure_that_the_pizza_is_gone. 2 none,12,filler,compAnnoyed,FAI,Tamara_is_annoyed_that_the_pizza_is_gone,Yes__I_am_sure_that_the_pizza_is_gone.,2,none
5,37UEWGM5HT9IYCQGERHOQPACFW7R1W,5,"""21""","""English""","""Yes""",Trial12,6 lucky_3_SAI SAI Eve_was_lucky_to_get_into_that_college. Yes__I_am_sure_that_she_got_into_that_college. 1 lucky,12,6,lucky_3_SAI,SAI,Eve_was_lucky_to_get_into_that_college.,Yes__I_am_sure_that_she_got_into_that_college.,1,lucky
9,34YB12FSQYPO5B3RR26ABDK8BYPGMV,3,"""29""","""English""","""Yes""",Trial12,filler possNP FAI Larry_is_flirting_with_your_neighbor. Yes__I_am_sure_that_she_is_your_neighbor. 2 none,12,filler,possNP,FAI,Larry_is_flirting_with_your_neighbor.,Yes__I_am_sure_that_she_is_your_neighbor.,2,none
52,3YMTUJH0DSHC6Q0R5Y5LO2IXF1DT4N,4,"""36""","""English""","""Yes""",Trial12,5 rude_2_VPAI VPAI Ann_was_rude_to_laugh_at_her_husband's_pain. Yes__I_am_sure_that_she_laughed_at_his_pain. 2 rude,12,5,rude_2_VPAI,VPAI,Ann_was_rude_to_laugh_at_her_husband's_pain.,Yes__I_am_sure_that_she_laughed_at_his_pain.,2,rude
68,3OE22WJIGIPYV82E3028W154U73QUU,5,"""31""","""English""","""Yes""",Trial12,6 mean_3_VPAI VPAI Jack_was_mean_to_give_a_milkshake_to_his_lactose_intolerant_daughter. Yes__I_am_sure_that_he_gave_her_a_milkshake. 1 mean,12,6,mean_3_VPAI,VPAI,Jack_was_mean_to_give_a_milkshake_to_his_lactose_intolerant_daughter.,Yes__I_am_sure_that_he_gave_her_a_milkshake.,1,mean
57,3GFK2QRXX9IMUQ8LE8T6GEVAJRS5WW,2,"""22""","""Chinese""","""No""",Trial12,filler compDiscover FAI Paula_discovered_that_her_husband_is_cheating. Yes__I_am_sure_that_he_is_cheating. 1 none,12,filler,compDiscover,FAI,Paula_discovered_that_her_husband_is_cheating.,Yes__I_am_sure_that_he_is_cheating.,1,none
59,39K0FND3AHGNVKQO52E0FR95D3EAMF,3,"""28""","""english""","""Yes""",Trial12,filler mainclause2 FAI Sue__a_teacher__runs_three_times_a_week. Yes__I_am_sure_that_she_runs_three_times_a_week. 1 none,12,filler,mainclause2,FAI,Sue__a_teacher__runs_three_times_a_week.,Yes__I_am_sure_that_she_runs_three_times_a_week.,1,none
19,3A1COHJ8NJWNKIWYH7E9RVVE6TGH8A,3,"""26""","""English""","""Yes""",Trial12,filler possNP FAI Larry_is_flirting_with_your_neighbor. Yes__I_am_sure_that_she_is_your_neighbor. 2 none,12,filler,possNP,FAI,Larry_is_flirting_with_your_neighbor.,Yes__I_am_sure_that_she_is_your_neighbor.,2,none
43,3YJ6NA41JBH4HGQ5ROJ5PU6J8VKJP1,4,"""31""","""English""","""Yes""",Trial12,filler nomapp FAI Phillip__a_yoga_teacher__is_wearing_sweat_pants. Yes__I_am_sure_that_he_is_a_yoga_teacher. 2 none,12,filler,nomapp,FAI,Phillip__a_yoga_teacher__is_wearing_sweat_pants.,Yes__I_am_sure_that_he_is_a_yoga_teacher.,2,none
8,31N2WW6R9RRH5PZMA0VDXTBQASA3F5,4,"""28""","""English""","""Yes""",Trial12,5 foolish_2_SAI SAI Kate_was_foolish_to_bring_a_snack. Yes__I_am_sure_that_she_brought_a_snack. 1 foolish,12,5,foolish_2_SAI,SAI,Kate_was_foolish_to_bring_a_snack.,Yes__I_am_sure_that_she_brought_a_snack.,1,foolish
4,3CTOC39K37RFBAM5V2POP8FY81FJ7V,4,"""37""","""English""","""Yes""",Trial12,5 fortunate_2_VPAI VPAI Sue_was_fortunate_to_have_a_great_singing_voice. Yes__I_am_sure_that_she_had_a_great_singing_voice. 1 fortunate,12,5,fortunate_2_VPAI,VPAI,Sue_was_fortunate_to_have_a_great_singing_voice.,Yes__I_am_sure_that_she_had_a_great_singing_voice.,1,fortunate
20,32Z9ZLUT1LLQ5AJEOO35OHLELYLOHL,5,"""29""","""English""","""Yes""",Trial12,filler mainclause2 FAI Sue__a_teacher__runs_three_times_a_week. Yes__I_am_sure_that_she_runs_three_times_a_week. 1 none,12,filler,mainclause2,FAI,Sue__a_teacher__runs_three_times_a_week.,Yes__I_am_sure_that_she_runs_three_times_a_week.,1,none
63,3K3R2QNK8B4S39LSMYRMA6FFK71U9E,4,"""48""","""English""","""Yes""",Trial12,filler possNP FAI Larry_is_flirting_with_your_neighbor. Yes__I_am_sure_that_she_is_your_neighbor. 2 none,12,filler,possNP,FAI,Larry_is_flirting_with_your_neighbor.,Yes__I_am_sure_that_she_is_your_neighbor.,2,none
61,3S96KQ6I9M5P6MJKY96ER6C3SE7DTL,2,"""31""","""English""","""Yes""",Trial12,filler mainclause2 FAI Sue__a_teacher__runs_three_times_a_week. Yes__I_am_sure_that_she_runs_three_times_a_week. 1 none,12,filler,mainclause2,FAI,Sue__a_teacher__runs_three_times_a_week.,Yes__I_am_sure_that_she_runs_three_times_a_week.,1,none
35,3K772S5NP8C4TJ6PUA09J5R0HWEHE9,5,"""24""","""English""","""Yes""",Trial12,filler compAnnoyed FAI Tamara_is_annoyed_that_the_pizza_is_gone Yes__I_am_sure_that_the_pizza_is_gone. 2 none,12,filler,compAnnoyed,FAI,Tamara_is_annoyed_that_the_pizza_is_gone,Yes__I_am_sure_that_the_pizza_is_gone.,2,none
15,3Z9WI9EOZZP7FJYZQWBCH0451T8KHU,4,"""46""","""english""","""Yes""",Trial12,filler mainclause1 FAI Mary_brought_a_fruit_salad. Yes__I_am_sure_that_she_brought_a_fruit_salad. 1 none,12,filler,mainclause1,FAI,Mary_brought_a_fruit_salad.,Yes__I_am_sure_that_she_brought_a_fruit_salad.,1,none
75,3483FV8BEEKW1EAS57E4KDTLBF926S,2,"""44""","""English""","""Yes""",Trial12,3 foolish_3_VPAI VPAI Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle. Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle. 2 foolish,12,3,foolish_3_VPAI,VPAI,Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle.,Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle.,2,foolish
46,320DUZ38G7NY43X6O5TIVLSR751JG3,1,"""29""","""English""","""Yes""",Trial12,filler nomapp FAI Phillip__a_yoga_teacher__is_wearing_sweat_pants. Yes__I_am_sure_that_he_is_a_yoga_teacher. 2 none,12,filler,nomapp,FAI,Phillip__a_yoga_teacher__is_wearing_sweat_pants.,Yes__I_am_sure_that_he_is_a_yoga_teacher.,2,none
30,31EUONYN2V4VNBEYTDK93ICNTE1OVI,3,"""61""","""English""","""Yes""",Trial12,4 polite_1_SAI SAI Chad_was_polite_to_laugh. Yes__I_am_sure_that_he_laughed. 2 polite,12,4,polite_1_SAI,SAI,Chad_was_polite_to_laugh.,Yes__I_am_sure_that_he_laughed.,2,polite
38,33FBRBDW6O0W3ALIVF08G4YYT2HC84,1,"""34""","""English""","""Yes""",Trial12,filler mainclause1 FAI Mary_brought_a_fruit_salad. Yes__I_am_sure_that_she_brought_a_fruit_salad. 1 none,12,filler,mainclause1,FAI,Mary_brought_a_fruit_salad.,Yes__I_am_sure_that_she_brought_a_fruit_salad.,1,none
13,3J2UYBXQQLDP547EQKAQ1P06EIW06F,5,"""50""","""english""","""Yes""",Trial12,6 mean_3_VPAI VPAI Jack_was_mean_to_give_a_milkshake_to_his_lactose_intolerant_daughter. Yes__I_am_sure_that_he_gave_her_a_milkshake. 1 mean,12,6,mean_3_VPAI,VPAI,Jack_was_mean_to_give_a_milkshake_to_his_lactose_intolerant_daughter.,Yes__I_am_sure_that_he_gave_her_a_milkshake.,1,mean
70,3GNCZX450IOTGNN1XI6SWV30I9XPA0,3,"""23""","""english""","""Yes""",Trial12,4 wise_1_SAI SAI Paul_was_wise_to_reprimand_his_employee. Yes__I_am_sure_that_he_reprimanded_her. 1 wise,12,4,wise_1_SAI,SAI,Paul_was_wise_to_reprimand_his_employee.,Yes__I_am_sure_that_he_reprimanded_her.,1,wise
44,3QAPZX2QN4E1N3OD3IYNBCJUYDT20Z,2,"""18""","""english""","""Yes""",Trial12,3 foolish_3_VPAI VPAI Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle. Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle. 2 foolish,12,3,foolish_3_VPAI,VPAI,Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle.,Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle.,2,foolish
51,3HWRJOOET53TJSK554C8NJY2Q82ES0,3,"""29""","""English""","""Yes""",Trial12,filler compAnnoyed FAI Tamara_is_annoyed_that_the_pizza_is_gone Yes__I_am_sure_that_the_pizza_is_gone. 2 none,12,filler,compAnnoyed,FAI,Tamara_is_annoyed_that_the_pizza_is_gone,Yes__I_am_sure_that_the_pizza_is_gone.,2,none
50,38YMOXR4MU0IDU8ZJR3B8K9AFNA6WM,2,"""30""","""English""","""Yes""",Trial12,filler mainclause1 FAI Mary_brought_a_fruit_salad. Yes__I_am_sure_that_she_brought_a_fruit_salad. 1 none,12,filler,mainclause1,FAI,Mary_brought_a_fruit_salad.,Yes__I_am_sure_that_she_brought_a_fruit_salad.,1,none
41,3AZHRG4CU4LQ8LKW7ICSUMOM4RU039,1,"""21""","""English""","""Yes""",Trial12,2 fortunate_2_SAI SAI Sue_was_fortunate_to_be_wearing_flip_flops. Yes__I_am_sure_that_she_was_wearing_flip_flops. 1 fortunate,12,2,fortunate_2_SAI,SAI,Sue_was_fortunate_to_be_wearing_flip_flops.,Yes__I_am_sure_that_she_was_wearing_flip_flops.,1,fortunate
66,3YW4XOSQKQMAE4IXILCTV0XWMWJ1UK,5,"""25""","""English""","""Yes""",Trial12,filler nomapp FAI Phillip__a_yoga_teacher__is_wearing_sweat_pants. Yes__I_am_sure_that_he_is_a_yoga_teacher. 2 none,12,filler,nomapp,FAI,Phillip__a_yoga_teacher__is_wearing_sweat_pants.,Yes__I_am_sure_that_he_is_a_yoga_teacher.,2,none
2,3A7Y0R2P2OP9QPSWDFTMJ7SMAV0XJC,5,"""28""","""English""","""Yes""",Trial12,filler compAnnoyed FAI Tamara_is_annoyed_that_the_pizza_is_gone Yes__I_am_sure_that_the_pizza_is_gone. 2 none,12,filler,compAnnoyed,FAI,Tamara_is_annoyed_that_the_pizza_is_gone,Yes__I_am_sure_that_the_pizza_is_gone.,2,none
23,3QAPZX2QN4E1N3OD3IYNBCJUYDU02Y,2,"""47""","""English""","""Yes""",Trial12,filler possNP FAI Larry_is_flirting_with_your_neighbor. Yes__I_am_sure_that_she_is_your_neighbor. 2 none,12,filler,possNP,FAI,Larry_is_flirting_with_your_neighbor.,Yes__I_am_sure_that_she_is_your_neighbor.,2,none
25,3PMBY0YE274WHF4S076MG0T9D80C9U,2,"""34""","""English""","""Yes""",Trial12,filler nomapp FAI Phillip__a_yoga_teacher__is_wearing_sweat_pants. Yes__I_am_sure_that_he_is_a_yoga_teacher. 2 none,12,filler,nomapp,FAI,Phillip__a_yoga_teacher__is_wearing_sweat_pants.,Yes__I_am_sure_that_he_is_a_yoga_teacher.,2,none
18,3URFVVM165J79035QWLLNUH8ZBWUZ2,5,"""29""","""English""","""Yes""",Trial12,6 smart_3_SAI SAI Jane_was_smart_to_go_to_the_store. Yes__I_am_sure_that_she_went_to_the_store. 2 smart,12,6,smart_3_SAI,SAI,Jane_was_smart_to_go_to_the_store.,Yes__I_am_sure_that_she_went_to_the_store.,2,smart
32,3DPNQGW4LLG64SPF9LXSDSQJVUB640,3,"""24""","""english""","""Yes""",Trial12,filler mainclause1 FAI Mary_brought_a_fruit_salad. Yes__I_am_sure_that_she_brought_a_fruit_salad. 1 none,12,filler,mainclause1,FAI,Mary_brought_a_fruit_salad.,Yes__I_am_sure_that_she_brought_a_fruit_salad.,1,none
17,33LKR6A5KELVER38IGMJQ4BU3IC1TT,3,"""33""","""English""","""Yes""",Trial12,4 rude_1_VPAI VPAI Ann_was_rude_to_eat_the_pasta_with_her_fingers. Yes__I_am_sure_that_she_ate_the_pasta_with_her_fingers. 2 rude,12,4,rude_1_VPAI,VPAI,Ann_was_rude_to_eat_the_pasta_with_her_fingers.,Yes__I_am_sure_that_she_ate_the_pasta_with_her_fingers.,2,rude
27,3EKVH9QMEY5VMNP7FUMIQJ3DS1SD2R,4,"""27""","""English""","""Yes""",Trial13,5 smart_2_SAI SAI Jane_was_smart_to_say_no. Yes__I_am_sure_that_she_said_no. 1 smart,13,5,smart_2_SAI,SAI,Jane_was_smart_to_say_no.,Yes__I_am_sure_that_she_said_no.,1,smart
49,34Z02EIMISEV72IQMXIJCZSKYPWT06,5,"""27""","""English""","""Yes""",Trial13,6 foolish_3_SAI SAI Kate_was_foolish_to_go_shopping. Yes__I_am_sure_that_she_went_shopping. 2 foolish,13,6,foolish_3_SAI,SAI,Kate_was_foolish_to_go_shopping.,Yes__I_am_sure_that_she_went_shopping.,2,foolish
39,3KWTYT087046JWWMAUM473EULKLL5G,4,"""55""","""english""","""Yes""",Trial13,5 fortunate_2_VPAI VPAI Sue_was_fortunate_to_have_a_great_singing_voice. Yes__I_am_sure_that_she_had_a_great_singing_voice. 1 fortunate,13,5,fortunate_2_VPAI,VPAI,Sue_was_fortunate_to_have_a_great_singing_voice.,Yes__I_am_sure_that_she_had_a_great_singing_voice.,1,fortunate
37,3LRLIPTPEQAS5WQLKQ1K0EH1OYHAK8,3,"""31""","""English""","""Yes""",Trial13,4 brave_1_VPAI VPAI Greg_was_brave_to_publish_a_controversial_article_under_his_own_name. Yes__I_am_sure_that_he_published_the_article_under_his_own_name. 1 brave,13,4,brave_1_VPAI,VPAI,Greg_was_brave_to_publish_a_controversial_article_under_his_own_name.,Yes__I_am_sure_that_he_published_the_article_under_his_own_name.,1,brave
24,3WZ36BJEV3HWRPL0KDF8WGO3PTTTBS,4,"""25""","""English""","""Yes""",Trial13,filler possNP FAI Larry_is_flirting_with_your_neighbor. Yes__I_am_sure_that_she_is_your_neighbor. 2 none,13,filler,possNP,FAI,Larry_is_flirting_with_your_neighbor.,Yes__I_am_sure_that_she_is_your_neighbor.,2,none
12,3Y5140Z9DXH8M56Z96Y5DTRJVGSIPL,3,"""27""","""English""","""Yes""",Trial13,4 brave_1_VPAI VPAI Greg_was_brave_to_publish_a_controversial_article_under_his_own_name. Yes__I_am_sure_that_he_published_the_article_under_his_own_name. 2 brave,13,4,brave_1_VPAI,VPAI,Greg_was_brave_to_publish_a_controversial_article_under_his_own_name.,Yes__I_am_sure_that_he_published_the_article_under_his_own_name.,2,brave
33,3EO896NRAWW298JC85SPU47GXY2TJD,1,"""35""","""English""","""Yes""",Trial13,2 polite_2_VPAI VPAI Chad_was_polite_to_bring_his_grandmother_a_gift_for_her_birthday. Yes__I_am_sure_that_he_brought_her_a_gift. 2 polite,13,2,polite_2_VPAI,VPAI,Chad_was_polite_to_bring_his_grandmother_a_gift_for_her_birthday.,Yes__I_am_sure_that_he_brought_her_a_gift.,2,polite
3,33FBRBDW6O0W3ALIVF08G4YYT188CP,0,"""29""","""English""","""Yes""",Trial13,1 brave_1_SAI SAI Greg_was_brave_to_take_the_job. Yes__I_am_sure_that_he_took_the_job. 1 brave,13,1,brave_1_SAI,SAI,Greg_was_brave_to_take_the_job.,Yes__I_am_sure_that_he_took_the_job.,1,brave
6,3P4RDNWND57C0U31ETTLGX57MHMIJL,2,"""54""","""english""","""Yes""",Trial13,3 foolish_3_VPAI VPAI Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle. Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle. 2 foolish,13,3,foolish_3_VPAI,VPAI,Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle.,Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle.,2,foolish
40,38SKSKU7R1YIVKR1HE5YWCIZQ6RILN,4,"""36""","""English""","""Yes""",Trial13,5 mean_2_VPAI VPAI Jack_was_mean_to_turn_off_the_movie_his_wife_was_watching. Yes__I_am_sure_that_he_turned_off_the_movie_she_was_watching. 2 mean,13,5,mean_2_VPAI,VPAI,Jack_was_mean_to_turn_off_the_movie_his_wife_was_watching.,Yes__I_am_sure_that_he_turned_off_the_movie_she_was_watching.,2,mean
14,33LK57MYLT6RUNB11RQL8TZKED1SZ8,0,"""39""","""ENGLISH""","""Yes""",Trial13,filler possNP FAI Larry_is_flirting_with_your_neighbor. Yes__I_am_sure_that_she_is_your_neighbor. 2 none,13,filler,possNP,FAI,Larry_is_flirting_with_your_neighbor.,Yes__I_am_sure_that_she_is_your_neighbor.,2,none
34,38SKSKU7R1YIVKR1HE5YWCIZQ6RLIQ,4,"""43""","""English""","""Yes""",Trial13,5 lucky_2_SAI SAI Eve_was_lucky_to_wake_up. Yes__I_am_sure_that_she_woke_up. 2 lucky,13,5,lucky_2_SAI,SAI,Eve_was_lucky_to_wake_up.,Yes__I_am_sure_that_she_woke_up.,2,lucky
69,3EWIJTFFVO8TIJ0TW2TODDSJVF9E01,0,"""19""","""English""","""Yes""",Trial13,1 rude_1_SAI SAI Ann_was_rude_to_say_that. Yes__I_am_sure_that_she_said_that. 2 rude,13,1,rude_1_SAI,SAI,Ann_was_rude_to_say_that.,Yes__I_am_sure_that_she_said_that.,2,rude
11,3TVSS0C0E11OFSJBF4B4JU1OZUBTW8,2,"""24""","""English""","""Yes""",Trial13,3 rude_3_SAI SAI Ann_was_rude_to_change_the_song. Yes__I_am_sure_that_she_changed_the_song. 2 rude,13,3,rude_3_SAI,SAI,Ann_was_rude_to_change_the_song.,Yes__I_am_sure_that_she_changed_the_song.,2,rude
26,3NXNZ5RS1AYQ5Y9W9QYB0E1VCW079L,0,"""26""","""English""","""Yes""",Trial13,filler mainclause1 FAI Mary_brought_a_fruit_salad. Yes__I_am_sure_that_she_brought_a_fruit_salad. 1 none,13,filler,mainclause1,FAI,Mary_brought_a_fruit_salad.,Yes__I_am_sure_that_she_brought_a_fruit_salad.,1,none
65,35DR22AR5DLY5BQ7AU1Z30BXEX53XV,1,"""49""","""english""","""Yes""",Trial13,2 brave_2_SAI SAI Greg_was_brave_to_watch_them. Yes__I_am_sure_that_he_watched_them. 1 brave,13,2,brave_2_SAI,SAI,Greg_was_brave_to_watch_them.,Yes__I_am_sure_that_he_watched_them.,1,brave
60,34S9DKFK73QU9K9RX97GVSGCLKPNY0,0,"""25""","""English""","""Yes""",Trial13,filler compDiscover FAI Paula_discovered_that_her_husband_is_cheating. Yes__I_am_sure_that_he_is_cheating. 1 none,13,filler,compDiscover,FAI,Paula_discovered_that_her_husband_is_cheating.,Yes__I_am_sure_that_he_is_cheating.,1,none
67,37W3JXSD669KWEI5PAY3RBT3EWTYW2,5,"""18""","""english+""","""Yes""",Trial13,filler mainclause2 FAI Sue__a_teacher__runs_three_times_a_week. Yes__I_am_sure_that_she_runs_three_times_a_week. 1 none,13,filler,mainclause2,FAI,Sue__a_teacher__runs_three_times_a_week.,Yes__I_am_sure_that_she_runs_three_times_a_week.,1,none
71,3NLZY2D53PQVCIFKUMA75E9LHG8LQT,2,"""47""","""English""","""Yes""",Trial13,3 foolish_3_VPAI VPAI Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle. Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle. 2 foolish,13,3,foolish_3_VPAI,VPAI,Kate_was_foolish_to_go_for_a_run_with_a_broken_ankle.,Yes__I_am_sure_that_she_went_for_a_run_with_a_broken_ankle.,2,foolish
1,3LPW2N6LKT392MJGJ8E5YQADYBE5UU,5,"""59""","""english""","""Yes""",Trial13,6 brave_3_VPAI VPAI Greg_was_brave_to_take_on_the_five_men_attacking_him. Yes__I_am_sure_that_he_took_on_the_five_men. 2 brave,13,6,brave_3_VPAI,VPAI,Greg_was_brave_to_take_on_the_five_men_attacking_him.,Yes__I_am_sure_that_he_took_on_the_five_men.,2,brave
36,3YDGXNSEOZVT868320UQX6MA1OR84C,2,"""60""","""English""","""Yes""",Trial13,3 rude_3_SAI SAI Ann_was_rude_to_change_the_song. Yes__I_am_sure_that_she_changed_the_song. 1 rude,13,3,rude_3_SAI,SAI,Ann_was_rude_to_change_the_song.,Yes__I_am_sure_that_she_changed_the_song.,1,rude
74,3FUI0JHJPXZMPDJTQ5UBWKMT72333U,1,"""53""","""English""","""Yes""",Trial13,2 rude_2_SAI SAI Ann_was_rude_to_ask_that. Yes__I_am_sure_that_she_asked_that. 1 rude,13,2,rude_2_SAI,SAI,Ann_was_rude_to_ask_that.,Yes__I_am_sure_that_she_asked_that.,1,rude
31,3R5F3LQFV2LCWVJ8UA9COOPJHOYOZ7,0,"""35""","""English""","""Yes""",Trial13,1 stupid_1_SAI SAI Zack_was_stupid_to_go_to_the_store. Yes__I_am_sure_that_he_went_to_the_store. 2 stupid,13,1,stupid_1_SAI,SAI,Zack_was_stupid_to_go_to_the_store.,Yes__I_am_sure_that_he_went_to_the_store.,2,stupid
10,3OXV7EAXLERLMW6B97S93NYDHT5633,2,"""53""","""English""","""Yes""",Trial13,3 rude_3_SAI SAI Ann_was_rude_to_change_the_song. Yes__I_am_sure_that_she_changed_the_song. 1 rude,13,3,rude_3_SAI,SAI,Ann_was_rude_to_change_the_song.,Yes__I_am_sure_that_she_changed_the_song.,1,rude
48,3NS0A6KXC49O4I2A6RW4JFGHQ27ZGV,1,"""20""","""English""","""Yes""",Trial13,2 lucky_2_VPAI VPAI Eve_was_lucky_to_win_the_lottery. Yes__I_am_sure_that_she_won_the_lottery. 1 lucky,13,2,lucky_2_VPAI,VPAI,Eve_was_lucky_to_win_the_lottery.,Yes__I_am_sure_that_she_won_the_lottery.,1,lucky
73,3RJSC4XJ10VTM070L10L9JM6IMA05M,1,"""31""","""English""","""Yes""",Trial13,2 brave_2_SAI SAI Greg_was_brave_to_watch_them. Yes__I_am_sure_that_he_watched_them. 1 brave,13,2,brave_2_SAI,SAI,Greg_was_brave_to_watch_them.,Yes__I_am_sure_that_he_watched_them.,1,brave
45,3WJ1OXY92AH8AVOKB14HA98ATYOA8Q,2,"""61""","""English""","""Yes""",Trial13,filler mainclause1 FAI Mary_brought_a_fruit_salad. Yes__I_am_sure_that_she_brought_a_fruit_salad. 1 none,13,filler,mainclause1,FAI,Mary_brought_a_fruit_salad.,Yes__I_am_sure_that_she_brought_a_fruit_salad.,1,none
62,3AAJC4I4FGTYVKSBEXH7GS8XIUOJZJ,4,"""20""","""english""","""Yes""",Trial13,5 mean_2_VPAI VPAI Jack_was_mean_to_turn_off_the_movie_his_wife_was_watching. Yes__I_am_sure_that_he_turned_off_the_movie_she_was_watching. 2 mean,13,5,mean_2_VPAI,VPAI,Jack_was_mean_to_turn_off_the_movie_his_wife_was_watching.,Yes__I_am_sure_that_he_turned_off_the_movie_she_was_watching.,2,mean
53,37ZHEEHM6WN4QWKGSHX191Y9C4Q370,3,"""47""","""English""","""Yes""",Trial13,filler mainclause2 FAI Sue__a_teacher__runs_three_times_a_week. Yes__I_am_sure_that_she_runs_three_times_a_week. 1 none,13,filler,mainclause2,FAI,Sue__a_teacher__runs_three_times_a_week.,Yes__I_am_sure_that_she_runs_three_times_a_week.,1,none
21,3VJ40NV2QIOGAJA9OIKU20O2WSDTOX,0,"""38""","""English""","""Yes""",Trial13,filler mainclause1 FAI Mary_brought_a_fruit_salad. Yes__I_am_sure_that_she_brought_a_fruit_salad. 1 none,13,filler,mainclause1,FAI,Mary_brought_a_fruit_salad.,Yes__I_am_sure_that_she_brought_a_fruit_salad.,1,none
7,3ZQIG0FLQEH3SKN0KZBJKCP9WFSVWR,3,"""55""","""english""","""Yes""",Trial13,4 fortunate_1_VPAI VPAI Sue_was_fortunate_to_speak_French_when_she_went_to_France. Yes__I_am_sure_that_she_spoke_French_when_she_went_to_France. 1 fortunate,13,4,fortunate_1_VPAI,VPAI,Sue_was_fortunate_to_speak_French_when_she_went_to_France.,Yes__I_am_sure_that_she_spoke_French_when_she_went_to_France.,1,fortunate
55,3VFJCI1K4Z0F2RGJWA2RXCEIHLPGRK,0,"""21""","""english""","""Yes""",Trial13,1 brave_1_SAI SAI Greg_was_brave_to_take_the_job. Yes__I_am_sure_that_he_took_the_job. 1 brave,13,1,brave_1_SAI,SAI,Greg_was_brave_to_take_the_job.,Yes__I_am_sure_that_he_took_the_job.,1,brave
58,3H7Z272LX78AC6E5U9VI59JBCKLPL5,3,"""24""","""English""","""Yes""",Trial13,4 brave_1_VPAI VPAI Greg_was_brave_to_publish_a_controversial_article_under_his_own_name. Yes__I_am_sure_that_he_published_the_article_under_his_own_name. 2 brave,13,4,brave_1_VPAI,VPAI,Greg_was_brave_to_publish_a_controversial_article_under_his_own_name.,Yes__I_am_sure_that_he_published_the_article_under_his_own_name.,2,brave
